NAME,SMILES
1,[*:1]CCOCCOC[*:2]
2,[*:1]CCOCCOCCOCCOC[*:2]
3,[*:1]CCOCCOCC(=O)NCC[*:2]
4,[*:1]CCOCCOCCOCCOCC(=O)NCC[*:2]
5,[*:1]CCOCCOCC(=O)[*:2]
6,[*:1]CCOCCOCCOCCOCC(=O)[*:2]
7,[*:1]CCOCCOCCOCCOCCOC[*:2]
8,[*:1]CCCCCOCCOC[*:2]
9,[*:1]CCOCCOCCOC[*:2]
10,[*:1]C(=O)COCCOCCOC[*:2]
11,[*:1]CCOCCOCC[*:2]
12,[*:1]CCOCCOCCOCCOCC[*:2]
13,[*:1]CCOCC[*:2]
14,[*:1]CCOCCOCCOCC[*:2]
15,[*:1]CCCCC[*:2]
16,[*:1]CCCCCOCC[*:2]
17,[*:1]C(=O)COCC[*:2]
18,[*:1]C(=O)COCCOCC[*:2]
19,[*:1]C(=O)COCCOCCOCC[*:2]
20,[*:1]C(=O)CCCC[*:2]
21,[*:1]C(=O)CCCCOCC[*:2]
22,[*:1]C(=O)CO[*:2]
23,[*:1]CCCC[*:2]
24,[*:1]CC[*:2]
25,[*:1]CCC[*:2]
26,[*:1]CCCCCC[*:2]
27,[*:1]CCCCCCC[*:2]
28,[*:1]CCCC#C[*:2]
29,[*:1]CCC#C[*:2]
30,[*:1]CCOCCOCCOCC#C[*:2]
31,[*:1]CCCCCCC#C[*:2]
32,[*:1]CCCCCCCC[*:2]
33,[*:1]CCCCCCCCC[*:2]
34,[*:1]CCCCCOC[*:2]
35,[*:1]CCC1CCN(CC1)CCC[*:2]
36,[*:1]CCN1CCN(CC1)CCC[*:2]
37,[*:1]CCCC#CC1=CN(N=C1)CC[*:2]
38,[*:1]CCC#CC1=CN(N=C1)C[*:2]
39,[*:1]CCCCC1=CN(N=C1)C[*:2]
40,[*:1]CCCCCCCCCC[*:2]
41,[*:1]CCCCCCCCCCC[*:2]
42,[*:1]C#CC1=CN=C(C=C1)CCCCCC[*:2]
43,[*:1]C#CC1=CN=C(C=C1)N2CCN(CC2)CCC[*:2]
44,[*:1]C#CC1=CN=C(C=C1)N2CCN(CC2)CCCC[*:2]
45,[*:1]C#CC1=CN=C(C=C1)N2CCN(CC2)CC[*:2]
46,[*:1]C#CC1=CN=C(C=C1)N2CCN(CC2)C[*:2]
47,[*:1]C#CC1=CN=C(C=C1)N2CCN(CC2)[*:2]
48,[*:1]C#CC1CCN(CC1)C2CCN(CC2)[*:2]
49,[*:1]C(=O)NCCCCCCCCC[*:2]
50,[*:1]C(=O)NCCCCCCCCCC[*:2]
51,[*:1]CCCCNC(=O)CO[*:2]
52,[*:1]CCCCNC(=O)C[*:2]
53,[*:1]CCCCCCCO[*:2]
54,[*:1]CCOCCC[*:2]
55,[*:1]C(=O)NCCCCC[*:2]
56,[*:1]NCCN1C=C(N=N1)CO[*:2]
57,[*:1]NCCN1C=C(N=N1)COCCO[*:2]
58,[*:1]NCCN1C=C(N=N1)COCCOCCO[*:2]
59,[*:1]NCCN1C=C(N=N1)COCCOCCOCCO[*:2]
60,[*:1]NCCN1C=C(N=N1)COCCOCCOCCOCCO[*:2]
61,[*:1]NCCN1C=C(N=N1)COC[*:2]
62,[*:1]NCCN1C=C(N=N1)COCCOC[*:2]
63,[*:1]NCCN1C=C(N=N1)COCCOCCOC[*:2]
64,[*:1]NCCN1C=C(N=N1)COCCOCCOCCOC[*:2]
65,[*:1]NCCN1C=C(N=N1)COCCOCCOCCOCCOC[*:2]
66,[*:1]CO[*:2]
1750,[*:1]CCN[*:2]
67,[*:1]CCOCCOCCOCCNC(=O)CC[*:2]
68,[*:1]CCOCCOCCOCCOCCNC(=O)C[*:2]
