Date,IP,PROTAC,WARHEAD,LINKER,LIGASE
2025-11-16_00-11-51,172.19.240.1,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(C(=O)N1CCN(CC(=O)CC2=CC(Cl)=C(Cl)C=C2)CC1)N1CCC[C@H]1C1=NC2=C(C=CC=C2C2=CC=CC=C2)S1,[1*]C(=O)CC1=CC(Cl)=C(Cl)C=C1,[1*]CN1CCN(C([2*])=O)CC1,[2*]C([C@@H](NC(=O)[C@H](C)NC)C1CCCCC1)N1CCC[C@H]1C1=NC2=C(C=CC=C2C2=CC=CC=C2)S1
2025-11-16_00-20-47,172.19.240.1,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(CC(=O)N1CCN(CC(C)C2=CC=CC(C[C@H](NC(=O)O[C@H]3CO[C@H]4OCC[C@H]43)[C@H](O)CN(CC(C)C)S(=O)(=O)C3=CC=C4OCOC4=C3)=C2)CC1)N1CCC[C@H]1C1=NC2=C(C=CC=C2C2=CC=CC=C2)S1,[1*]CC(C)C1=CC=CC(C[C@H](NC(=O)O[C@H]2CO[C@H]3OCC[C@H]32)[C@H](O)CN(CC(C)C)S(=O)(=O)C2=CC=C3OCOC3=C2)=C1,[1*]N1CCN(C(=O)C[2*])CC1,[2*]C([C@@H](NC(=O)[C@H](C)NC)C1CCCCC1)N1CCC[C@H]1C1=NC2=C(C=CC=C2C2=CC=CC=C2)S1
2025-11-16_00-35-41,172.19.240.1,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(CC(=O)N1CCN(CCC(C)C2=CC=CC(C[C@H](NC(=O)O[C@H]3CO[C@H]4OCC[C@H]43)[C@H](O)CN(CC(C)C)S(=O)(=O)C3=CC=C4OCOC4=C3)=C2)CC1)N1CCC[C@H]1C1=NC2=C(C=CC=C2C2=CC=CC=C2)S1,[1*]CC(C)C1=CC=CC(C[C@H](NC(=O)O[C@H]2CO[C@H]3OCC[C@H]32)[C@H](O)CN(CC(C)C)S(=O)(=O)C2=CC=C3OCOC3=C2)=C1,[1*]CN1CCN(C(=O)C[2*])CC1,[2*]C([C@@H](NC(=O)[C@H](C)NC)C1CCCCC1)N1CCC[C@H]1C1=NC2=C(C=CC=C2C2=CC=CC=C2)S1
2025-11-16_00-44-32,172.19.240.1,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(C1C=CCC(N2CCC3(CCC(C4CCC5=C(C4)N(CC(=O)O)N=C5C(F)(F)F)CC3)CC2)C1)N1CCC[C@H]1C1=NC2=C(C=CC=C2C2=CC=CC=C2)S1,[1*]C1CCC2=C(C1)N(CC(=O)O)N=C2C(F)(F)F,[1*]C1CCC2(CC1)CCN(C1CC=CC([2*])C1)CC2,[2*]C([C@@H](NC(=O)[C@H](C)NC)C1CCCCC1)N1CCC[C@H]1C1=NC2=C(C=CC=C2C2=CC=CC=C2)S1
2025-11-16_00-56-46,172.19.240.1,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(C(C)C1C=CCC(N2CCC3(CCC(C4CCC5=C(C4)N(CC(=O)O)N=C5C(F)(F)F)CC3)CC2)C1)N1CCC[C@H]1C1=NC2=C(C=CC=C2C2=CC=CC=C2)S1,[1*]C1CCC2=C(C1)N(CC(=O)O)N=C2C(F)(F)F,[1*]C1CCC2(CC1)CCN(C1CC=CC(C([2*])C)C1)CC2,[2*]C([C@@H](NC(=O)[C@H](C)NC)C1CCCCC1)N1CCC[C@H]1C1=NC2=C(C=CC=C2C2=CC=CC=C2)S1
2025-11-16_01-13-19,172.19.240.1,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(C(C)CC(C)C1C=CCC(N2CCC3(CCC(C4CCC5=C(C4)N(CC(=O)O)N=C5C(F)(F)F)CC3)CC2)C1)N1CCC[C@H]1C1=NC2=C(C=CC=C2C2=CC=CC=C2)S1,[1*]C1CCC2=C(C1)N(CC(=O)O)N=C2C(F)(F)F,[1*]C1CCC2(CC1)CCN(C1CC=CC(C(C)CC([2*])C)C1)CC2,[2*]C([C@@H](NC(=O)[C@H](C)NC)C1CCCCC1)N1CCC[C@H]1C1=NC2=C(C=CC=C2C2=CC=CC=C2)S1
2025-11-16_01-28-06,172.19.240.1,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(CC(C)CC(C)C1C=CCC(N2CCC3(CCC(C4CCC5=C(C4)N(CC(=O)O)N=C5C(F)(F)F)CC3)CC2)C1)N1CCC[C@H]1C1=NC2=C(C=CC=C2C2=CC=CC=C2)S1,[1*]C1CCC2=C(C1)N(CC(=O)O)N=C2C(F)(F)F,[1*]C1CCC2(CC1)CCN(C1CC=CC(C(C)CC(C)C[2*])C1)CC2,[2*]C([C@@H](NC(=O)[C@H](C)NC)C1CCCCC1)N1CCC[C@H]1C1=NC2=C(C=CC=C2C2=CC=CC=C2)S1
2025-11-16_06-37-21,172.19.240.1,CCC(=O)/N=C\[C@H]1CC[C@H]2CC[C@@H](C(=O)NCC3=CC=CC=C3)N2C(=O)[C@H]1NC(=O)[C@H](C)NCCCCCCCCCCN1CCN(CC(=O)NC(=O)CN2N=C(C(F)(F)F)C3=C2CCCC3)CC1,[1*]NC(=O)CN1N=C(C(F)(F)F)C2=C1CCCC2,[1*]C(=O)CN1CCN(CCCCCCCCCC[2*])CC1,[2*]N[C@@H](C)C(=O)N[C@@H]1C(=O)N2[C@@H](CC[C@@H]1/C=N\C(=O)CC)CC[C@H]2C(=O)NCC1=CC=CC=C1
2025-11-16_20-43-32,172.19.240.1,O=C(O)C1=NOC(CC(=O)N2CCN(C(=O)N3CCC[C@H]([C@]4(CC5=CC(Cl)=CC=C5)C(=O)NC5=C4C=CC(Cl)=C5)C3)CC2)=C1,[1*]C1=CC(C(=O)O)=NO1,[1*]CC(=O)N1CCN([2*])CC1,[2*]C(=O)N1CCC[C@H]([C@]2(CC3=CC(Cl)=CC=C3)C(=O)NC3=C2C=CC(Cl)=C3)C1
2025-11-16_20-54-28,172.19.240.1,CC(CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)C1=CC=C(N)C=C1)N1CCN(C(=O)N(CC2=CC=C(C3=CN=CO3)C=C2)C(=O)[C@@H]2C[C@@H](O)CN2C(=O)CC(C)(C)C)CC1,[1*]C(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)C1=CC=C(N)C=C1,[1*]N1CCN(C([2*])=O)CC1,[2*]N(CC1=CC=C(C2=CN=CO2)C=C1)C(=O)[C@@H]1C[C@@H](O)CN1C(=O)CC(C)(C)C
